order_id,order_ts,order_dt_local,customer_id,store_id,channel,payment_method,coupon_code,shipping_fee,currency
5995,2025-08-27T13:31:26,2025-08-27,114,3,pos,paypal,SAVE-5KLI,21.60,AUD
5996,2025-08-27T06:37:47,2025-08-27,383,24,pos,credit_card,,20.71,AUD
5997,2025-08-27T00:53:36,2025-08-27,1,13,web,bank_transfer,,5.40,AUD
5998,2025-08-27T23:38:29,2025-08-27,635,5,pos,bank_transfer,,17.56,AUD
5999,2025-08-27T12:19:15,2025-08-27,298,7,web,gift_card,,28.73,AUD
6000,2025-08-27T02:24:59,2025-08-27,558,5,web,credit_card,,11.31,AUD
6001,2025-08-27T17:23:26,2025-08-27,618,42,pos,credit_card,,28.32,AUD
6002,2025-08-27T09:49:42,2025-08-27,504,7,web,bank_transfer,,12.38,AUD
6003,2025-08-27T15:31:12,2025-08-27,503,13,pos,gift_card,SAVE-8GRB,0.00,AUD
6004,2025-08-27T00:26:44,2025-08-27,23,34,pos,credit_card,,0.00,AUD
6005,2025-08-27T00:56:21,2025-08-27,631,10,web,credit_card,,13.97,AUD
6006,2025-08-27T20:27:13,2025-08-27,512,42,web,credit_card,,5.22,AUD
6007,2025-08-27T05:13:12,2025-08-27,314,29,web,paypal,,24.89,AUD
6008,2025-08-27T10:00:03,2025-08-27,191,23,web,credit_card,,19.05,AUD
6009,2025-08-27T15:37:33,2025-08-27,660,16,web,credit_card,,24.62,AUD
6010,2025-08-27T10:52:21,2025-08-27,593,24,web,credit_card,,8.66,AUD
6011,2025-08-27T16:45:53,2025-08-27,432,49,web,credit_card,SAVE-5A9S,5.09,AUD
6012,2025-08-27T19:12:41,2025-08-27,474,47,web,paypal,,9.25,AUD
6013,2025-08-27T23:34:29,2025-08-27,559,8,web,cash,,11.55,AUD
6014,2025-08-27T21:28:56,2025-08-27,419,21,web,credit_card,,18.48,AUD
6015,2025-08-27T11:22:55,2025-08-27,523,20,web,paypal,,10.79,AUD
6016,2025-08-27T06:41:39,2025-08-27,187,50,web,credit_card,,18.65,AUD
6017,2025-08-27T07:42:15,2025-08-27,349,14,web,bank_transfer,SAVE-OM97,28.20,AUD
6018,2025-08-27T17:35:59,2025-08-27,336,40,pos,bank_transfer,,16.90,AUD
6019,2025-08-27T09:16:32,2025-08-27,246,9,web,paypal,,5.78,AUD
6020,2025-08-27T01:57:45,2025-08-27,341,29,web,credit_card,,13.30,AUD
6021,2025-08-27T23:18:35,2025-08-27,124,38,web,credit_card,,6.82,AUD
6022,2025-08-27T17:32:08,2025-08-27,83,31,web,credit_card,,5.47,AUD
6023,2025-08-27T15:40:15,2025-08-27,315,17,web,paypal,,17.66,AUD
6024,2025-08-27T13:53:04,2025-08-27,264,16,pos,credit_card,,0.00,AUD
6025,2025-08-27T21:21:20,2025-08-27,189,19,web,credit_card,SAVE-1XON,11.05,AUD
6026,2025-08-27T13:34:34,2025-08-27,138,39,web,credit_card,,9.44,AUD
6027,2025-08-27T15:24:10,2025-08-27,330,18,pos,credit_card,,0.00,AUD
6028,2025-08-27T21:34:12,2025-08-27,745,1,pos,credit_card,,0.00,AUD
6029,2025-08-27T18:57:11,2025-08-27,744,9,pos,cash,,9.29,AUD
6030,2025-08-27T03:57:34,2025-08-27,420,23,pos,credit_card,,21.33,AUD
6031,2025-08-27T08:55:14,2025-08-27,464,8,web,bank_transfer,,0.00,AUD
6032,2025-08-27T08:40:05,2025-08-27,388,7,web,paypal,,9.45,AUD
6033,2025-08-27T10:55:13,2025-08-27,431,22,web,credit_card,,12.45,AUD
6034,2025-08-27T19:25:47,2025-08-27,497,45,pos,bank_transfer,,13.93,AUD
