product_id,sku,name,category,subcategory,current_price,currency,is_discontinued,introduced_dt,discontinued_dt
1,SKU-XAJI0Y,Voluptatem Ad,Books,Voluptates,42192.7558,AUD,True,2001-05-03,2003-07-11
2,SKU-ZZPQK5,Ipsam Eos,Clothing,Debitis,34025.7080,AUD,False,2006-12-22,
3,SKU-DNMMJB,Veniam Quidem,Sports,Minima,97311.5936,AUD,True,2016-12-23,2025-01-09
4,SKU-5UZBIK,Optio Voluptate,Electronics,Tempore,86648.4915,AUD,False,2017-01-18,
5,SKU-NNHJ7X,Omnis Deleniti,Books,Quos,53414.4482,AUD,True,2010-12-24,2024-06-20
6,SKU-L1C32O,Adipisci Autem,Electronics,Iste,94291.0191,AUD,False,2014-02-11,
7,SKU-5XFF0T,Similique Eveniet,Books,Nobis,58353.7031,AUD,False,2016-03-27,
8,SKU-SDBDW2,Provident Laborum,Sports,Rerum,38477.3426,AUD,False,2020-12-29,
9,SKU-4AZYTJ,Nulla Magni,Home,Repellendus,43477.0860,AUD,True,2020-05-08,2025-05-20
10,SKU-SG65KX,Voluptatibus Rerum,Books,Aperiam,37392.0076,AUD,False,2007-03-31,
11,SKU-TALA75,Corporis Nam,Home,Deserunt,24087.9160,AUD,True,2003-07-14,2006-01-31
12,SKU-TEX8FS,Officia Iste,Books,Dicta,21180.6066,AUD,False,2024-03-10,
13,SKU-ZOYN6Q,Delectus Maxime,Clothing,Optio,33809.2147,AUD,False,2024-11-05,
14,SKU-CWI64C,Quasi Qui,Clothing,Excepturi,48541.9596,AUD,True,2024-03-09,
15,SKU-R23GDP,Debitis Quam,Sports,Repudiandae,86383.8024,AUD,False,2002-06-06,
16,SKU-DOM5IG,Id Ipsum,Sports,Animi,18349.6183,AUD,False,2020-10-01,
17,SKU-P5TB94,Quisquam Magni,Electronics,Doloribus,84869.7163,AUD,False,2007-06-17,
18,SKU-56FAO7,Libero Possimus,Sports,Facere,69659.4468,AUD,False,2024-12-05,
19,SKU-GHC0CL,Minus Debitis,Electronics,Voluptatibus,50285.5304,AUD,True,2023-10-28,
20,SKU-GVYIE6,Aut Repellat,Clothing,Similique,3975.1261,AUD,False,2003-09-05,
21,SKU-S7HZIO,Hic Illo,Home,Dicta,92901.8949,AUD,True,2003-04-03,2016-11-18
22,SKU-CHJ755,Ex Magni,Home,Repellendus,43819.0147,AUD,False,2024-05-14,
23,SKU-9XA3KX,Tempore Non,Clothing,Modi,88971.3721,AUD,True,2024-10-25,2025-08-29
24,SKU-MY4SJ6,Dolor Voluptate,Electronics,Dolores,42358.1494,AUD,True,2012-05-30,2016-05-05
25,SKU-J0TPAC,Asperiores Maxime,Clothing,Necessitatibus,83459.6590,AUD,True,2024-10-13,2025-08-29
26,SKU-6246HI,Quia Ipsa,Electronics,Ducimus,55988.7864,AUD,False,2018-03-25,
27,SKU-7IF2GO,Aspernatur Nobis,Clothing,Ipsum,33219.2113,AUD,False,2018-06-20,
28,SKU-3J2D54,Sint Dolorum,Clothing,Eligendi,91845.2625,AUD,False,2015-09-07,
29,SKU-IAGL58,Deleniti Exercitationem,Home,Quibusdam,50941.0531,AUD,False,2024-01-20,
30,SKU-5JU9BV,Eos Velit,Home,Ipsam,31368.4146,AUD,True,2022-12-10,
31,SKU-BPS3Y7,Nihil Porro,Clothing,Eligendi,6998.3104,AUD,False,2014-10-23,
32,SKU-E6SYLZ,Asperiores Rerum,Books,Voluptatum,42045.2087,AUD,False,2017-01-02,
33,SKU-WKTAKP,Praesentium Architecto,Books,Quasi,32225.5975,AUD,False,2019-10-26,
34,SKU-R62GDS,Reiciendis Enim,Books,Sunt,81842.5198,AUD,False,2010-07-15,
35,SKU-HAIR4C,Aut Ipsum,Sports,Accusantium,57567.5085,AUD,False,2017-03-23,
36,SKU-XA11DP,Dolore Consequatur,Clothing,Perspiciatis,69591.4748,AUD,True,2020-11-02,2022-07-08
37,SKU-2Y9V86,Veritatis Nulla,Books,Dolorem,89202.1287,AUD,False,2019-02-21,
38,SKU-60RJIW,Quo Cum,Books,Unde,23925.3447,AUD,True,2019-09-24,2022-04-03
39,SKU-6CFNFH,Iure Natus,Sports,Accusantium,54261.5660,AUD,True,2018-08-26,
40,SKU-18A5UR,Voluptatem Sed,Home,Voluptas,38999.2709,AUD,False,2018-10-18,
41,SKU-26RJRN,Magni Nostrum,Sports,Placeat,84050.7174,AUD,False,2005-09-22,
42,SKU-6VXDP5,Non Hic,Clothing,Ipsa,37911.0035,AUD,False,2009-06-29,
43,SKU-5K8P4Q,Maxime Recusandae,Books,Ducimus,95192.0078,AUD,False,2010-01-21,
44,SKU-X18HAF,Placeat Deleniti,Clothing,Nisi,11439.8291,AUD,False,2009-10-11,
45,SKU-NV8Z2F,Quibusdam Eveniet,Home,Odit,2568.8166,AUD,False,2013-12-29,
46,SKU-N7HV3I,Rem Deleniti,Home,Minima,60041.5551,AUD,False,2005-06-06,
47,SKU-BTXCXA,Officiis Debitis,Sports,Suscipit,10554.7805,AUD,False,2016-03-31,
48,SKU-ZP08J3,Dignissimos Repudiandae,Books,Nostrum,46487.9076,AUD,False,2012-01-15,
49,SKU-7KQ1UY,Atque Ipsa,Home,Inventore,85095.4242,AUD,False,2008-02-27,
50,SKU-JKV5US,Amet Repellat,Clothing,Enim,72007.7391,AUD,False,2021-11-30,
51,SKU-RZQAKO,Autem Voluptas,Clothing,Exercitationem,58155.9712,AUD,False,2021-03-24,
52,SKU-9TMQLI,Saepe Amet,Clothing,Sequi,74288.3561,AUD,True,2008-04-21,2015-07-04
53,SKU-9SKDGI,Iure Eveniet,Clothing,Commodi,70802.1335,AUD,False,2005-09-04,
54,SKU-TZE5R5,Excepturi Aliquam,Books,Non,47871.9374,AUD,True,2015-04-14,2021-08-22
55,SKU-CRUYF3,Iste Consectetur,Home,Neque,24819.8448,AUD,False,2018-09-01,
56,SKU-ISQP49,Quod Corrupti,Home,Sint,6023.9696,AUD,False,2004-06-13,
57,SKU-HXFGCA,Eveniet Ducimus,Sports,Exercitationem,46991.7733,AUD,False,2001-06-18,
58,SKU-ZQY72W,Possimus Recusandae,Clothing,Excepturi,54456.6879,AUD,False,2006-09-07,
59,SKU-CFL0UK,Quidem Veniam,Electronics,Officiis,30409.8119,AUD,False,2018-01-20,
60,SKU-RCBPLJ,Rerum Consectetur,Electronics,Iure,67430.1557,AUD,False,2000-12-05,
61,SKU-JB1QX6,Dicta Saepe,Clothing,Deserunt,43589.0585,AUD,False,2022-01-21,
62,SKU-OLDFOR,Eos Unde,Sports,Aliquam,55010.1053,AUD,True,2020-05-26,2022-01-18
63,SKU-OS9XTO,Excepturi Sapiente,Clothing,Reprehenderit,62263.7584,AUD,False,2022-05-12,
64,SKU-HT7PZE,Inventore Maxime,Books,Sint,70978.5656,AUD,False,2013-12-09,
65,SKU-D96QE3,Minima Commodi,Sports,Necessitatibus,29186.8612,AUD,False,2012-04-06,
66,SKU-QQFGV0,Repellendus Voluptatem,Clothing,Error,27625.4613,AUD,False,2018-08-12,
