sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2025-06-11T04:55:46,37,SHELF-22,3.87,70.35,3734
2025-06-05T12:12:22,37,SHELF-25,32.35,99.61,3768
2025-06-05T07:53:41,37,SHELF-68,45.06,63.79,3872
2025-06-03T10:10:45,37,SHELF-97,49.44,15.30,4024
2025-06-15T16:46:24,37,SHELF-37,42.70,87.67,3825
2025-06-15T02:29:03,37,SHELF-55,28.00,46.05,3302
2025-06-11T17:58:08,37,SHELF-31,42.83,89.46,3418
2025-06-13T15:35:24,37,SHELF-21,38.48,67.74,3991
2025-06-17T04:47:05,37,SHELF-37,1.43,7.94,3253
2025-06-05T02:15:25,37,SHELF-42,8.18,78.75,3584
2025-06-12T07:29:18,37,SHELF-20,20.05,35.92,3995
2025-06-11T18:03:24,37,SHELF-38,10.36,58.80,3609
2025-06-29T06:31:39,37,SHELF-70,-2.45,61.77,3120
2025-06-09T09:46:44,37,SHELF-24,-4.24,78.47,4006
2025-06-03T17:24:43,37,SHELF-44,9.02,39.67,3492
2025-06-06T20:02:38,37,SHELF-60,29.43,26.53,4061
2025-06-20T02:21:17,37,SHELF-24,34.41,89.99,3123
2025-06-10T15:09:41,37,SHELF-21,9.83,50.33,4004
2025-06-18T12:42:20,37,SHELF-74,4.44,64.16,3934
2025-06-04T01:52:51,37,SHELF-80,21.72,61.50,4147
2025-06-05T10:30:33,37,SHELF-5,36.98,88.10,3141
2025-06-21T04:38:22,37,SHELF-65,40.47,40.46,3120
2025-06-01T17:35:44,37,SHELF-96,18.55,5.79,3326
2025-06-12T22:41:52,37,SHELF-56,14.10,75.44,3846
2025-06-21T08:59:04,37,SHELF-21,9.97,81.59,3710
2025-06-02T06:15:10,37,SHELF-38,24.84,35.53,3474
2025-06-03T13:49:42,37,SHELF-31,3.01,17.62,3235
2025-06-02T14:12:47,37,SHELF-34,34.72,18.21,3848
2025-06-19T12:37:08,37,SHELF-60,42.25,7.99,3924
2025-06-20T15:39:43,37,SHELF-80,11.54,40.61,3543
2025-06-13T07:25:41,37,SHELF-34,5.45,55.81,3598
2025-06-28T19:30:10,37,SHELF-41,29.82,98.61,3266
2025-06-25T22:54:59,37,SHELF-52,29.36,94.57,4037
2025-06-14T09:01:44,37,SHELF-76,0.55,47.52,3761
2025-06-10T22:53:59,37,SHELF-66,-8.88,25.42,3105
2025-06-02T02:03:39,37,SHELF-41,46.31,98.99,3332
2025-06-18T12:05:07,37,SHELF-25,42.72,80.49,3665
2025-06-17T17:20:13,37,SHELF-65,21.66,75.06,3536
2025-06-01T02:05:55,37,SHELF-18,41.22,73.66,3945
2025-06-11T13:53:47,37,SHELF-37,49.36,3.97,3498
2025-06-14T01:32:02,37,SHELF-62,43.10,20.23,3200
2025-06-19T13:07:54,37,SHELF-25,13.51,81.51,3415
2025-06-09T04:44:35,37,SHELF-13,3.73,83.52,3025
2025-06-05T06:26:18,37,SHELF-78,25.57,5.22,3719
2025-06-28T00:35:08,37,SHELF-13,37.71,30.09,3929
2025-06-25T11:45:31,37,SHELF-17,23.05,69.41,3159
2025-06-20T16:05:12,37,SHELF-22,43.66,10.28,3195
2025-06-25T01:33:02,37,SHELF-16,25.46,84.80,3873
2025-06-03T07:34:28,37,SHELF-55,-3.90,31.65,3428
2025-06-19T12:46:00,37,SHELF-99,-0.75,47.68,3826
2025-06-23T02:23:14,37,SHELF-31,44.62,68.06,3126
2025-06-16T00:52:54,37,SHELF-98,31.70,50.17,3255
2025-06-15T19:42:59,37,SHELF-65,35.95,80.73,3322
2025-06-01T01:31:41,37,SHELF-36,7.27,8.46,4002
2025-06-27T22:23:57,37,SHELF-40,-0.75,39.61,3511
2025-06-05T17:39:21,37,SHELF-25,0.30,4.19,3735
2025-06-18T11:43:46,37,SHELF-20,44.81,95.02,4012
2025-06-13T03:24:59,37,SHELF-4,24.76,63.03,3819
