store_id,store_code,name,channel,region,state,latitude,longitude,open_dt,close_dt
1,STORE-XAJI0,Williams and Sons,web,West,WA,-40.814362,121.771758,2017-01-02,2019-03-27
2,STORE-ZPQK5,Bailey and Sons,web,West,VIC,-38.713697,152.202949,2005-02-05,2013-08-14
3,STORE-4V30T,Hawkins Group,pos,North,NT,-15.800241,137.97783,2006-03-23,
4,STORE-BIKCI,Brown  Olsen and Fox,web,West,ACT,-22.386729,127.322952,2006-08-10,
5,STORE-ZYCWT,Pearson-Miller,web,South,NSW,-34.821774,150.86643,2020-11-13,
6,STORE-41IBL,Hernandez-Serrano,pos,North,SA,-11.94107,148.80744,2004-02-12,
7,STORE-5XFF0,Navarro-Torres,pos,West,VIC,-30.420383,121.211472,1996-03-16,
8,STORE-BDW2P,Robinson and Sons,web,West,NT,-10.131873,134.222802,2014-10-26,
9,STORE-ZYTJX,Mayer and Sons,web,East,ACT,-28.573394,152.060269,2022-04-14,
10,STORE-G65KX,Watkins-Johnson,web,South,WA,-38.507333,152.046989,2013-10-16,
11,STORE-REN93,Williams-Collins,web,North,VIC,-24.709864,115.307796,2022-10-31,
12,STORE-11ERT,Evans-Garcia,pos,West,SA,-12.416941,143.721138,2020-12-11,
13,STORE-9XPSE,Clarke  Flowers and Bridges,web,North,VIC,-23.997504,121.664819,1999-11-18,2002-07-09
14,STORE-64CIY,Mcdonald  Stanley and Shaw,web,South,QLD,-13.998975,136.200889,2000-11-25,
15,STORE-GDPPQ,Smith LLC,web,North,ACT,-19.240738,145.624885,1994-11-26,
16,STORE-QPKI7,Fuller-Young,pos,North,QLD,-10.024396,147.113159,1994-03-09,
17,STORE-FRHOC,Walker-Klein,pos,North,NT,-34.983096,144.930965,2010-05-30,
18,STORE-02XRG,Sutton  Morris and Turner,web,North,TAS,-25.565363,143.414974,1992-07-25,2013-12-13
19,STORE-4F8CG,Carroll-Moran,web,South,VIC,-11.985732,135.926367,2015-12-21,
20,STORE-PVS7H,King PLC,pos,South,TAS,-39.550138,139.111033,2010-07-06,
21,STORE-CQ99C,Campbell  Dougherty and Brown,web,East,ACT,-32.1337,114.889235,2000-12-16,
22,STORE-4ZW9X,King Group,web,East,QLD,-40.478059,148.881333,2001-11-12,2006-08-31
23,STORE-FKHMY,Wright  Young and Gordon,pos,West,NSW,-13.122592,114.133554,2018-06-15,
24,STORE-A1WJ0,Carey Group,pos,North,WA,-11.868268,141.022824,1996-09-08,
25,STORE-UFEL6,Wong  Pugh and Hernandez,web,East,ACT,-35.515989,116.317332,2024-12-29,
26,STORE-907IF,James Ltd,web,West,WA,-18.956808,125.95179,2008-06-20,
27,STORE-3J2D5,Thomas LLC,pos,South,ACT,-12.772635,126.685654,2000-03-17,
28,STORE-OKC1M,White PLC,pos,East,SA,-40.07838,152.756826,1998-01-04,
29,STORE-BVM2P,Williams-Baker,web,West,ACT,-37.537322,113.864234,2009-07-24,2021-08-20
30,STORE-70HP8,Castro LLC,pos,East,NSW,-39.762739,149.801967,2012-09-30,
31,STORE-OKEP7,Lopez and Sons,web,East,TAS,-15.653344,124.762748,1999-06-06,
32,STORE-XQPHR,Kidd-Sanders,web,North,WA,-21.42897,138.008954,1994-03-11,
33,STORE-YIHAI,Davis-Roberts,pos,North,WA,-13.871345,136.178178,2022-03-23,
34,STORE-IXA11,Lopez  Cantrell and Mejia,web,West,WA,-16.660265,141.228295,2010-11-03,2016-06-05
35,STORE-EEQTU,Campbell-Haley,pos,West,NT,-19.544685,133.200683,2014-07-30,
36,STORE-5Q14J,Williams-Cooper,pos,South,QLD,-41.365566,124.000582,2002-03-10,
37,STORE-CFNFH,Marks LLC,pos,West,QLD,-28.158574,114.61516,2008-11-05,
38,STORE-8A5UR,Cox-Roberts,pos,East,TAS,-14.98277,152.044074,2008-10-18,
39,STORE-26RJR,Phillips Ltd,pos,East,NSW,-16.863161,142.415618,2010-12-19,
40,STORE-T6VXD,Scott LLC,pos,South,QLD,-37.821213,122.926565,2004-09-07,
41,STORE-1N13J,Mason Inc,web,West,NT,-25.659752,153.996129,2005-09-12,
42,STORE-8BBI4,Padilla-Moore,web,South,TAS,-21.238399,135.686722,1999-10-12,
43,STORE-NV8Z2,Brewer PLC,web,East,ACT,-43.126934,125.102204,2020-05-20,
44,STORE-7HV3I,Smith  Morgan and Rogers,pos,North,WA,-24.758293,113.724903,2013-11-24,
45,STORE-SM43D,Gonzalez Inc,pos,West,TAS,-29.193437,142.819403,2019-03-07,
46,STORE-TRP0J,Smith PLC,web,North,SA,-28.672732,143.520004,2015-07-25,
47,STORE-B4GH2,Perez-Nelson,pos,East,ACT,-20.159752,123.60328,1990-06-16,
48,STORE-IOTIR,Moreno Ltd,pos,West,NSW,-40.836186,121.307049,2021-01-12,
49,STORE-NTM9T,Thompson Ltd,pos,West,NSW,-35.452275,117.067547,1998-08-22,
50,STORE-8YG0J,Graham Group,pos,North,QLD,-33.92762,127.157005,2003-07-24,2015-07-16
